area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Bacoor,1 BHK,Coomee ,284,1,1,552000
Plot  Area,Immediate Possession,Cotabato City,,Theanmp,1350,,,582360
Built-up  Area,Ready To Move,San Juan,1 BHK,,450,1,1,621000
Built-up  Area,18-Mar,Talisay,1 BHK,Soiewre,340,1,1,690000
Super built-up  Area,18-Jan,Sipalay,3 BHK,,167Sq. Meter,3,2,690000
Super built-up  Area,Ready To Move,Santiago,1 BHK,DuenaTa,400,1,1,690000
Super built-up  Area,Ready To Move,Carcar,1 BHK,Jaades ,470,2,1,690000
Built-up  Area,Ready To Move,Quezon City,1 BHK,Brway G,410,1,1,690000
Super built-up  Area,Ready To Move,Canlaon,1 BHK,,410,1,1,690000
Built-up  Area,Ready To Move,Dapitan,1 BHK,,395,1,1,707250
Super built-up  Area,Ready To Move,Santo Tomas,1 BHK,,400,1,1,707250
Plot  Area,Ready To Move,Dipolog,2 Bedroom,Prrry M,640,1,0,724500
Super built-up  Area,Ready To Move,Muntinlupa,1 BHK,Shncyes,450,1,1,759000
Built-up  Area,Ready To Move,San Fernando,1 BHK,,400,1,1,759000
Built-up  Area,Ready To Move,Imus,1 BHK,Skityer,400,1,1,793500
Super built-up  Area,Ready To Move,Ormoc,1 BHK,PrntaEn,418,2,1,793500
Built-up  Area,Ready To Move,Urdaneta,1 BHK,Prityel,400,1,1,793500
Super built-up  Area,Ready To Move,Dagupan,1 BHK,GrrvaGr,550,1,1,793500
Super built-up  Area,18-Mar,Puerto Princesa,1 BHK,PeBayle,530,1,0,804540
Built-up  Area,Ready To Move,Caloocan,1 BHK,,400,1,1,828000
Built-up  Area,Ready To Move,Digos,1 BHK,,418,1,1,828000
Built-up  Area,Ready To Move,Bago,1 BHK,She 2rk,550,1,1,828000
Super built-up  Area,Ready To Move,Borongan,1 BHK,Soitya ,418,1,1,828000
Built-up  Area,Ready To Move,Mati,3 BHK,,2400,3,2,828000
Built-up  Area,Ready To Move,Tanauan,1 BHK,Bhe 2ko,450,1,1,862500
Built-up  Area,Ready To Move,Iloilo City,1 BHK,,420,1,1,862500
Plot  Area,Immediate Possession,Cabadbaran,,Itelaa ,1200 - 1800,,,879750
Carpet  Area,Ready To Move,Pagadian,1 BHK,,460,1,1,897000
Super built-up  Area,Ready To Move,Sagay,1 BHK,ViistLa,500,1,1,897000
Super built-up  Area,19-Dec,Toledo,1 BHK,KBityo ,540 - 565,1,0,914940
Super built-up  Area,18-Mar,Baybay,1 BHK,LedorSa,605,1,0,918390
